"No.","Time","Source","Destination","Protocol","Length","Info"
"16","1.427657","192.168.29.240","192.168.29.21","TCP","164","8009  >  52208 [PSH, ACK] Seq=1 Ack=111 Win=2692 Len=110 [TCP PDU reassembled in 193]"
"17","1.478396","192.168.29.21","192.168.29.240","TCP","54","51815  >  8009 [ACK] Seq=111 Ack=111 Win=251 Len=0"
"18","1.478491","192.168.29.21","192.168.29.240","TCP","54","50730  >  8009 [ACK] Seq=111 Ack=111 Win=251 Len=0"
"19","1.478513","192.168.29.21","192.168.29.240","TCP","54","52208  >  8009 [ACK] Seq=111 Ack=111 Win=250 Len=0"
"20","1.909646","192.168.29.21","162.247.243.20","TLSv1.2","1090","Application Data"
"21","2.046305","162.247.243.20","192.168.29.21","TCP","54","443  >  53716 [ACK] Seq=1 Ack=1037 Win=384 Len=0"
"22","2.149574","162.247.243.20","192.168.29.21","TLSv1.2","271","Application Data, Application Data"
"23","2.149574","162.247.243.20","192.168.29.21","TLSv1.2","78","Application Data"
"24","2.149574","162.247.243.20","192.168.29.21","TCP","54","443  >  53716 [FIN, ACK] Seq=242 Ack=1037 Win=384 Len=0"
"25","2.149728","192.168.29.21","162.247.243.20","TCP","54","53716  >  443 [ACK] Seq=1037 Ack=243 Win=253 Len=0"
"26","2.150274","192.168.29.21","162.247.243.20","TLSv1.2","78","Application Data"
"27","2.150426","192.168.29.21","162.247.243.20","TCP","54","53716  >  443 [FIN, ACK] Seq=1061 Ack=243 Win=253 Len=0"
"28","2.454567","192.168.29.21","162.247.243.20","TCP","78","[TCP Retransmission] 53716  >  443 [FIN, PSH, ACK] Seq=1037 Ack=243 Win=253 Len=24"
"29","2.558430","162.247.243.20","192.168.29.21","TCP","54","443  >  53716 [RST] Seq=243 Win=0 Len=0"
"30","2.938780","192.168.29.21","162.247.243.20","TCP","66","53717  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"31","2.967443","192.168.29.21","49.44.183.26","TCP","54","52088  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"32","2.967550","192.168.29.21","13.107.246.48","TCP","54","52167  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"33","2.967759","192.168.29.21","49.44.199.138","TCP","54","52094  >  443 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"34","2.971734","162.247.243.20","192.168.29.21","TCP","66","443  >  53717 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=512"
"35","2.971900","192.168.29.21","162.247.243.20","TCP","54","53717  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"36","2.972622","192.168.29.21","162.247.243.20","TLSv1.3","328","Client Hello (SNI=infra-api.newrelic.com)"
"37","3.070416","162.247.243.20","192.168.29.21","TCP","54","443  >  53717 [ACK] Seq=1 Ack=275 Win=147456 Len=0"
"38","3.070416","162.247.243.20","192.168.29.21","TLSv1.3","1510","Server Hello, Change Cipher Spec, Application Data"
"39","3.070416","162.247.243.20","192.168.29.21","TCP","1510","443  >  53717 [PSH, ACK] Seq=1457 Ack=275 Win=147456 Len=1456 [TCP PDU reassembled in 41]"
"40","3.070588","192.168.29.21","162.247.243.20","TCP","54","53717  >  443 [ACK] Seq=275 Ack=2913 Win=65280 Len=0"
"41","3.070828","162.247.243.20","192.168.29.21","TLSv1.3","1126","Application Data, Application Data, Application Data"
"42","3.070828","162.247.243.20","192.168.29.21","TCP","1126","[TCP Retransmission] 443  >  53717 [PSH, ACK] Seq=2913 Ack=275 Win=147456 Len=1072"
"43","3.071015","192.168.29.21","162.247.243.20","TCP","66","53717  >  443 [ACK] Seq=275 Ack=3985 Win=64256 Len=0 SLE=2913 SRE=3985"
"44","3.077849","192.168.29.21","162.247.243.20","TLSv1.3","118","Change Cipher Spec, Application Data"
"45","3.078055","192.168.29.21","162.247.243.20","TLSv1.3","1057","Application Data"
"46","3.172306","162.247.243.20","192.168.29.21","TCP","54","443  >  53717 [ACK] Seq=3985 Ack=339 Win=147456 Len=0"
"47","3.172537","162.247.243.20","192.168.29.21","TCP","54","443  >  53717 [ACK] Seq=3985 Ack=1342 Win=149504 Len=0"
"48","3.480066","162.247.243.20","192.168.29.21","TLSv1.3","276","Application Data, Application Data"
"49","3.526736","192.168.29.21","162.247.243.20","TCP","54","53717  >  443 [ACK] Seq=1342 Ack=4207 Win=64000 Len=0"
"50","4.401244","49.44.183.26","192.168.29.21","TLSv1.2","78","Application Data"
"51","4.401244","49.44.183.26","192.168.29.21","TCP","54","443  >  53708 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0"
"52","4.401420","192.168.29.21","49.44.183.26","TCP","54","53708  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"53","4.401685","49.44.183.26","192.168.29.21","TCP","54","[TCP Retransmission] 443  >  53708 [FIN, ACK] Seq=25 Ack=1 Win=501 Len=0"
"54","4.401708","192.168.29.21","49.44.183.26","TCP","54","[TCP Dup ACK 52#1] 53708  >  443 [ACK] Seq=1 Ack=26 Win=1021 Len=0"
"55","4.402758","192.168.29.21","49.44.183.26","TCP","54","53708  >  443 [FIN, ACK] Seq=1 Ack=26 Win=1021 Len=0"
"56","4.417964","49.44.183.26","192.168.29.21","TCP","54","443  >  53708 [ACK] Seq=26 Ack=2 Win=501 Len=0"
"57","6.438858","192.168.29.21","192.168.29.240","TCP","164","52208  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 199]"
"58","6.438974","192.168.29.21","192.168.29.240","TCP","164","50730  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1052]"
"59","6.439003","192.168.29.21","192.168.29.240","TCP","164","51815  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1054]"
"60","6.447108","192.168.29.1","192.168.29.21","ECHO","43","Request"
"61","6.551450","SkyworthDigi_59:ed:e9","Broadcast","ARP","42","Who has 192.168.29.102? Tell 192.168.29.1"
"62","6.629475","192.168.29.21","208.115.231.58","TCP","55","50636  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"63","6.677625","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 52208  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 199]"
"64","6.693542","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 50730  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1052]"
"65","6.693637","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 51815  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1054]"
"66","6.771131","192.168.29.21","192.168.29.1","DNS","79","Standard query 0x2302 A accounts.google.com"
"67","6.785177","192.168.29.1","192.168.29.21","DNS","95","Standard query response 0x2302 A accounts.google.com A 172.253.118.84"
"68","6.787041","192.168.29.21","172.253.118.84","QUIC","1292","Initial, DCID=e73bf33ae27823ec, PKN: 1, CRYPTO"
"69","6.787200","192.168.29.21","172.253.118.84","QUIC","1292","Initial, DCID=e73bf33ae27823ec, PKN: 2, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO"
"70","6.790355","192.168.29.21","172.253.118.84","QUIC","119","0-RTT, DCID=e73bf33ae27823ec"
"71","6.797330","208.115.231.58","192.168.29.21","TCP","54","443  >  50636 [ACK] Seq=0 Ack=2 Win=501 Len=0"
"72","6.797366","192.168.29.21","208.115.231.58","TCP","54","[TCP Dup ACK 62#1] [TCP ACKed unseen segment] 50636  >  443 [ACK] Seq=2 Ack=1 Win=255 Len=0"
"73","6.807472","208.115.231.58","192.168.29.21","TCP","66","[TCP Previous segment not captured] 443  >  50636 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"74","6.951355","192.168.29.21","162.247.243.20","TLSv1.3","1511","Application Data"
"75","6.961238","172.253.118.84","192.168.29.21","QUIC","82","Initial, SCID=e73bf33ae27823ec, PKN: 1, ACK"
"76","6.961238","172.253.118.84","192.168.29.21","QUIC","1292","Initial, SCID=e73bf33ae27823ec, PKN: 2, ACK, PADDING"
"77","6.961238","172.253.118.84","192.168.29.21","QUIC","1292","Initial, SCID=e73bf33ae27823ec, PKN: 3, CRYPTO, PADDING"
"78","6.961238","172.253.118.84","192.168.29.21","QUIC","344","Protected Payload (KP0)"
"79","6.961238","172.253.118.84","192.168.29.21","QUIC","990","Protected Payload (KP0)"
"80","6.961238","172.253.118.84","192.168.29.21","QUIC","69","Protected Payload (KP0)"
"81","6.961238","172.253.118.84","192.168.29.21","QUIC","66","Protected Payload (KP0)"
"82","6.962751","192.168.29.21","172.253.118.84","QUIC","120","Handshake, DCID=e73bf33ae27823ec"
"83","6.962942","192.168.29.21","172.253.118.84","QUIC","73","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"84","6.963777","192.168.29.21","172.253.118.84","QUIC","1288","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"85","6.963848","192.168.29.21","172.253.118.84","QUIC","1292","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"86","6.963884","192.168.29.21","172.253.118.84","QUIC","1292","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"87","6.964019","192.168.29.21","172.253.118.84","QUIC","823","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"88","6.964198","192.168.29.21","172.253.118.84","QUIC","151","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"89","6.980687","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 52208  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 199]"
"90","6.985479","162.247.243.20","192.168.29.21","TCP","54","443  >  53717 [ACK] Seq=4207 Ack=2799 Win=152064 Len=0"
"91","6.996696","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 50730  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1052]"
"92","6.996769","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 51815  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1054]"
"93","7.013777","172.253.118.84","192.168.29.21","QUIC","163","Protected Payload (KP0)"
"94","7.013777","172.253.118.84","192.168.29.21","QUIC","67","Protected Payload (KP0)"
"95","7.013777","172.253.118.84","192.168.29.21","QUIC","67","Protected Payload (KP0)"
"96","7.013777","172.253.118.84","192.168.29.21","QUIC","67","Protected Payload (KP0)"
"97","7.013777","172.253.118.84","192.168.29.21","QUIC","71","Protected Payload (KP0)"
"98","7.014427","192.168.29.21","172.253.118.84","QUIC","73","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"99","7.071160","172.253.118.84","192.168.29.21","QUIC","1288","Protected Payload (KP0)"
"100","7.071160","172.253.118.84","192.168.29.21","QUIC","419","Protected Payload (KP0)"
"101","7.071160","172.253.118.84","192.168.29.21","QUIC","76","Protected Payload (KP0)"
"102","7.071160","172.253.118.84","192.168.29.21","QUIC","273","Protected Payload (KP0)"
"103","7.071928","192.168.29.21","172.253.118.84","QUIC","77","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"104","7.072098","192.168.29.21","172.253.118.84","QUIC","73","Protected Payload (KP0), DCID=e73bf33ae27823ec"
"105","7.168208","172.253.118.84","192.168.29.21","QUIC","66","Protected Payload (KP0)"
"106","7.188875","162.247.243.20","192.168.29.21","TLSv1.3","276","Application Data, Application Data"
"107","7.235275","192.168.29.21","162.247.243.20","TCP","54","53717  >  443 [ACK] Seq=2799 Ack=4429 Win=65280 Len=0"
"108","7.370563","SkyworthDigi_59:ed:e9","Broadcast","ARP","42","Who has 192.168.29.102? Tell 192.168.29.1"
"109","7.585387","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 52208  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=250 Len=110 [TCP PDU reassembled in 199]"
"110","7.601307","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 50730  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1052]"
"111","7.601396","192.168.29.21","192.168.29.240","TCP","164","[TCP Retransmission] 51815  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=251 Len=110 [TCP PDU reassembled in 1054]"
"112","7.677967","192.168.29.240","192.168.29.21","TCP","60","8009  >  52208 [ACK] Seq=111 Ack=221 Win=2692 Len=0"
"113","7.677967","192.168.29.240","192.168.29.21","TCP","60","8009  >  51815 [ACK] Seq=111 Ack=221 Win=1506 Len=0"
"114","7.677967","192.168.29.240","192.168.29.21","TCP","60","8009  >  50730 [ACK] Seq=111 Ack=221 Win=1552 Len=0"
"115","8.191933","192.168.29.240","192.168.29.21","TCP","164","8009  >  52208 [PSH, ACK] Seq=111 Ack=221 Win=2692 Len=110 [TCP PDU reassembled in 193]"
"116","8.191933","192.168.29.240","192.168.29.21","TCP","164","8009  >  50730 [PSH, ACK] Seq=111 Ack=221 Win=1552 Len=110 [TCP PDU reassembled in 172]"
"117","8.191933","192.168.29.240","192.168.29.21","TCP","164","8009  >  51815 [PSH, ACK] Seq=111 Ack=221 Win=1506 Len=110 [TCP PDU reassembled in 195]"
"118","8.192200","192.168.29.21","192.168.29.1","DNS","80","Standard query 0xb175 A collector.github.com"
"119","8.197989","192.168.29.1","192.168.29.21","DNS","129","Standard query response 0xb175 A collector.github.com CNAME glb-db52c2cf8be544.github.com A 140.82.112.21"
"120","8.199767","192.168.29.21","140.82.112.21","TCP","66","53718  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"121","8.237923","192.168.29.21","192.168.29.240","TCP","54","52208  >  8009 [ACK] Seq=221 Ack=221 Win=250 Len=0"
"122","8.238036","192.168.29.21","192.168.29.240","TCP","54","50730  >  8009 [ACK] Seq=221 Ack=221 Win=251 Len=0"
"123","8.238063","192.168.29.21","192.168.29.240","TCP","54","51815  >  8009 [ACK] Seq=221 Ack=221 Win=251 Len=0"
"124","8.394578","SkyworthDigi_59:ed:e9","Broadcast","ARP","42","Who has 192.168.29.102? Tell 192.168.29.1"
"125","8.444282","192.168.29.21","35.186.224.40","TLSv1.2","82","Application Data"
"126","8.460608","192.168.29.21","140.82.112.21","TCP","66","53719  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"127","8.471837","35.186.224.40","192.168.29.21","TCP","54","443  >  50663 [ACK] Seq=1 Ack=29 Win=1050 Len=0"
"128","8.600401","140.82.112.21","192.168.29.21","TCP","66","443  >  53718 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
"129","8.600536","192.168.29.21","140.82.112.21","TCP","54","53718  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"130","8.601557","192.168.29.21","140.82.112.21","TCP","1490","53718  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1436 [TCP PDU reassembled in 131]"
"131","8.601557","192.168.29.21","140.82.112.21","TLSv1.3","427","Client Hello (SNI=collector.github.com)"
"132","8.804961","140.82.112.21","192.168.29.21","TCP","66","443  >  53719 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1436 SACK_PERM WS=1024"
"133","8.805117","192.168.29.21","140.82.112.21","TCP","54","53719  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"134","8.806101","192.168.29.21","140.82.112.21","TCP","1490","53719  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=1436 [TCP PDU reassembled in 135]"
"135","8.806101","192.168.29.21","140.82.112.21","TLSv1.3","459","Client Hello (SNI=collector.github.com)"
"136","8.888785","192.168.29.21","57.144.123.33","TCP","115","52165  >  80 [PSH, ACK] Seq=1 Ack=1 Win=253 Len=61"
"137","8.896838","57.144.123.33","192.168.29.21","TCP","99","80  >  52165 [PSH, ACK] Seq=1 Ack=1 Win=498 Len=45"
"138","8.897373","192.168.29.21","57.144.123.33","TCP","89","52165  >  80 [PSH, ACK] Seq=62 Ack=46 Win=253 Len=35"
"139","8.902080","57.144.123.33","192.168.29.21","TCP","54","80  >  52165 [ACK] Seq=46 Ack=62 Win=498 Len=0"
"140","8.905364","57.144.123.33","192.168.29.21","TCP","54","80  >  52165 [ACK] Seq=46 Ack=97 Win=498 Len=0"
"141","8.907614","140.82.112.21","192.168.29.21","TCP","54","443  >  53718 [ACK] Seq=1 Ack=1810 Win=69632 Len=0"
"142","8.912935","140.82.112.21","192.168.29.21","TLSv1.3","1490","Server Hello, Change Cipher Spec, Application Data"
"143","8.912935","140.82.112.21","192.168.29.21","TCP","1490","443  >  53718 [PSH, ACK] Seq=1437 Ack=1810 Win=69632 Len=1436 [TCP PDU reassembled in 144]"
"144","8.912935","140.82.112.21","192.168.29.21","TLSv1.3","1244","Application Data, Application Data, Application Data"
"145","8.913004","192.168.29.21","140.82.112.21","TCP","54","53718  >  443 [ACK] Seq=1810 Ack=4063 Win=65280 Len=0"
"146","8.918700","192.168.29.21","140.82.112.21","TLSv1.3","118","Change Cipher Spec, Application Data"
"147","8.919090","192.168.29.21","140.82.112.21","TLSv1.3","146","Application Data"
"148","8.919481","192.168.29.21","140.82.112.21","TLSv1.3","607","Application Data"
"149","8.919773","192.168.29.21","140.82.112.21","TCP","1490","53718  >  443 [ACK] Seq=2519 Ack=4063 Win=65280 Len=1436 [TCP PDU reassembled in 150]"
"150","8.919773","192.168.29.21","140.82.112.21","TLSv1.3","60","Application Data"
"151","9.213927","140.82.112.21","192.168.29.21","TCP","54","443  >  53719 [ACK] Seq=1 Ack=1842 Win=69632 Len=0"
"152","9.214241","140.82.112.21","192.168.29.21","TLSv1.3","1490","Server Hello, Change Cipher Spec, Application Data"
"153","9.214241","140.82.112.21","192.168.29.21","TCP","1490","443  >  53719 [PSH, ACK] Seq=1437 Ack=1842 Win=69632 Len=1436 [TCP PDU reassembled in 154]"
"154","9.214241","140.82.112.21","192.168.29.21","TLSv1.3","1244","Application Data, Application Data, Application Data"
"155","9.214241","140.82.112.21","192.168.29.21","TLSv1.3","133","Application Data"
"156","9.214241","140.82.112.21","192.168.29.21","TLSv1.3","133","Application Data"
"157","9.214241","140.82.112.21","192.168.29.21","TCP","54","443  >  53718 [ACK] Seq=4221 Ack=3961 Win=75776 Len=0"
"158","9.214241","140.82.112.21","192.168.29.21","TLSv1.3","144","Application Data"
"159","9.214337","192.168.29.21","140.82.112.21","TCP","54","53719  >  443 [ACK] Seq=1842 Ack=4063 Win=65280 Len=0"
"160","9.214373","192.168.29.21","140.82.112.21","TCP","54","53718  >  443 [ACK] Seq=3961 Ack=4311 Win=65280 Len=0"
"161","9.215758","192.168.29.21","140.82.112.21","TLSv1.3","118","Change Cipher Spec, Application Data"
"162","9.215999","192.168.29.21","140.82.112.21","TLSv1.3","85","Application Data"
"163","9.217249","140.82.112.21","192.168.29.21","TLSv1.3","534","Application Data"
"164","9.241551","192.168.29.240","192.168.29.21","TCP","352","8009  >  51815 [PSH, ACK] Seq=221 Ack=221 Win=1506 Len=298 [TCP PDU reassembled in 195]"
"165","9.241551","192.168.29.240","192.168.29.21","TCP","352","8009  >  52208 [PSH, ACK] Seq=221 Ack=221 Win=2692 Len=298 [TCP PDU reassembled in 193]"
"166","9.241845","192.168.29.240","192.168.29.21","TCP","352","8009  >  50730 [PSH, ACK] Seq=221 Ack=221 Win=1552 Len=298 [TCP PDU reassembled in 172]"
"167","9.246320","192.168.29.240","224.0.0.251","MDNS","182","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"168","9.270839","192.168.29.21","140.82.112.21","TCP","54","53718  >  443 [ACK] Seq=3992 Ack=4791 Win=64768 Len=0"
"169","9.286445","192.168.29.21","192.168.29.240","TCP","54","51815  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0"
"170","9.286538","192.168.29.21","192.168.29.240","TCP","54","52208  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0"
"171","9.286547","192.168.29.21","192.168.29.240","TCP","54","50730  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0"
"172","9.382311","192.168.29.240","192.168.29.21","AJP13","771","AJP13 Error?"
"173","9.419692","192.168.29.240","224.0.0.251","MDNS","296","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"174","9.419692","192.168.29.240","224.0.0.251","MDNS","182","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"175","9.419692","192.168.29.240","192.168.29.21","TCP","352","[TCP Previous segment not captured] 8009  >  51815 [PSH, ACK] Seq=1236 Ack=221 Win=1506 Len=298 [TCP PDU reassembled in 183]"
"176","9.419692","192.168.29.240","192.168.29.21","TCP","352","[TCP Previous segment not captured] 8009  >  52208 [PSH, ACK] Seq=1236 Ack=221 Win=2692 Len=298 [TCP PDU reassembled in 184]"
"177","9.419692","192.168.29.240","192.168.29.21","TCP","352","8009  >  50730 [PSH, ACK] Seq=1236 Ack=221 Win=1552 Len=298"
"178","9.420277","192.168.29.21","192.168.29.240","TCP","66","[TCP Dup ACK 169#1] 51815  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0 SLE=1236 SRE=1534"
"179","9.420321","192.168.29.21","192.168.29.240","TCP","66","[TCP Dup ACK 170#1] 52208  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0 SLE=1236 SRE=1534"
"180","9.420360","192.168.29.21","192.168.29.240","TCP","54","50730  >  8009 [ACK] Seq=221 Ack=1534 Win=252 Len=0"
"181","9.420432","192.168.29.240","224.0.0.251","MDNS","182","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"182","9.420432","192.168.29.240","224.0.0.251","MDNS","296","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"183","9.423396","192.168.29.240","192.168.29.21","AJP13","1069","AJP13 Error?"
"184","9.423396","192.168.29.240","192.168.29.21","AJP13","1069","AJP13 Error?"
"185","9.423432","192.168.29.21","192.168.29.240","TCP","66","[TCP Dup ACK 169#2] 51815  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0 SLE=1236 SRE=2549"
"186","9.423470","192.168.29.21","192.168.29.240","TCP","66","[TCP Dup ACK 170#2] 52208  >  8009 [ACK] Seq=221 Ack=519 Win=255 Len=0 SLE=1236 SRE=2549"
"187","9.423493","192.168.29.240","192.168.29.21","TCP","1069","8009  >  50730 [PSH, ACK] Seq=1534 Ack=221 Win=1552 Len=1015"
"188","9.478515","192.168.29.21","192.168.29.240","TCP","54","50730  >  8009 [ACK] Seq=221 Ack=2549 Win=255 Len=0"
"189","9.486173","192.168.29.240","224.0.0.251","MDNS","296","Standard query response 0x0000 PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local PTR Smart-2K-ATV4-ba82042dbc267716650db2f7a0b9226a._googlecast._tcp.local"
"190","9.589643","140.82.112.21","192.168.29.21","TLSv1.3","133","Application Data"
"191","9.589643","140.82.112.21","192.168.29.21","TLSv1.3","133","Application Data"
"192","9.589770","192.168.29.21","140.82.112.21","TCP","54","53719  >  443 [ACK] Seq=1906 Ack=4221 Win=65280 Len=0"
"193","9.600328","192.168.29.240","192.168.29.21","TCP","771","[TCP Retransmission] 8009  >  52208 [PSH, ACK] Seq=519 Ack=221 Win=2692 Len=717"
"194","9.600328","140.82.112.21","192.168.29.21","TCP","54","443  >  53718 [ACK] Seq=4791 Ack=3992 Win=75776 Len=0"
"195","9.600328","192.168.29.240","192.168.29.21","TCP","771","[TCP Retransmission] 8009  >  51815 [PSH, ACK] Seq=519 Ack=221 Win=1506 Len=717"
"196","9.600412","192.168.29.21","192.168.29.240","TCP","54","52208  >  8009 [ACK] Seq=221 Ack=2549 Win=255 Len=0"
"197","9.600493","192.168.29.21","192.168.29.240","TCP","54","51815  >  8009 [ACK] Seq=221 Ack=2549 Win=255 Len=0"
"198","9.602943","192.168.29.21","192.168.29.240","TCP","530","52208  >  8009 [PSH, ACK] Seq=221 Ack=2549 Win=255 Len=476 [TCP PDU reassembled in 199]"
"199","9.603141","192.168.29.21","192.168.29.240","AJP13","222","AJP13 Error?"
"200","9.606523","192.168.29.240","192.168.29.21","TCP","352","8009  >  52208 [PSH, ACK] Seq=2549 Ack=221 Win=2692 Len=298"
"201","9.606523","192.168.29.240","192.168.29.21","TCP","352","8009  >  51815 [PSH, ACK] Seq=2549 Ack=221 Win=1506 Len=298"
"202","9.606979","192.168.29.240","192.168.29.21","TCP","60","8009  >  52208 [ACK] Seq=2847 Ack=697 Win=2738 Len=0"
"203","9.606979","192.168.29.240","192.168.29.21","TCP","60","8009  >  52208 [ACK] Seq=2847 Ack=865 Win=2738 Len=0"
